year,cumulative_discoveries
1800-01-01,4.0
1801-01-01,4.0
1802-01-01,4.0
1803-01-01,4.0
1804-01-01,4.0
1805-01-01,4.0
1806-01-01,4.0
1807-01-01,4.0
1808-01-01,4.0
1809-01-01,4.0
1810-01-01,4.0
1811-01-01,4.0
1812-01-01,4.0
1813-01-01,4.0
1814-01-01,4.0
1815-01-01,4.0
1816-01-01,4.0
1817-01-01,4.0
1818-01-01,4.0
1819-01-01,4.0
1820-01-01,4.0
1821-01-01,4.0
1822-01-01,5.0
1823-01-01,5.0
1824-01-01,5.0
1825-01-01,5.0
1826-01-01,5.0
1827-01-01,5.0
1828-01-01,5.0
1829-01-01,5.0
1830-01-01,5.0
1831-01-01,5.0
1832-01-01,5.0
1833-01-01,5.0
1834-01-01,5.0
1835-01-01,5.0
1836-01-01,5.0
1837-01-01,6.0
1838-01-01,6.0
1839-01-01,6.0
1840-01-01,6.0
1841-01-01,6.0
1842-01-01,6.0
1843-01-01,6.0
1844-01-01,6.0
1845-01-01,6.0
1846-01-01,6.0
1847-01-01,6.0
1848-01-01,6.0
1849-01-01,6.0
1850-01-01,6.0
1851-01-01,6.0
1852-01-01,6.0
1853-01-01,6.0
1854-01-01,6.0
1855-01-01,6.0
1856-01-01,6.0
1857-01-01,6.0
1858-01-01,6.0
1859-01-01,6.0
1860-01-01,6.0
1861-01-01,6.0
1862-01-01,6.0
1863-01-01,6.0
1864-01-01,7.0
1865-01-01,7.0
1866-01-01,7.0
1867-01-01,7.0
1868-01-01,7.0
1869-01-01,8.0
1870-01-01,8.0
1871-01-01,8.0
1872-01-01,8.0
1873-01-01,8.0
1874-01-01,8.0
1875-01-01,8.0
1876-01-01,9.0
1877-01-01,9.0
1878-01-01,9.0
1879-01-01,9.0
1880-01-01,10.0
1881-01-01,10.0
1882-01-01,10.0
1883-01-01,10.0
1884-01-01,10.0
1885-01-01,10.0
1886-01-01,10.0
1887-01-01,10.0
1888-01-01,10.0
1889-01-01,10.0
1890-01-01,10.0
1891-01-01,10.0
1892-01-01,10.0
1893-01-01,10.0
1894-01-01,10.0
1895-01-01,10.0
1896-01-01,10.0
1897-01-01,10.0
1898-01-01,10.0
1899-01-01,10.0
1900-01-01,11.0
1901-01-01,11.0
1902-01-01,11.0
1903-01-01,12.0
1904-01-01,12.0
1905-01-01,12.0
1906-01-01,12.0
1907-01-01,12.0
1908-01-01,12.0
1909-01-01,12.0
1910-01-01,12.0
1911-01-01,12.0
1912-01-01,12.0
1913-01-01,12.0
1914-01-01,12.0
1915-01-01,13.0
1916-01-01,13.0
1917-01-01,13.0
1918-01-01,13.0
1919-01-01,13.0
1920-01-01,13.0
1921-01-01,13.0
1922-01-01,13.0
1923-01-01,13.0
1924-01-01,13.0
1925-01-01,13.0
1926-01-01,13.0
1927-01-01,13.0
1928-01-01,14.0
1929-01-01,14.0
1930-01-01,14.0
1931-01-01,14.0
1932-01-01,14.0
1933-01-01,14.0
1934-01-01,14.0
1935-01-01,15.0
1936-01-01,15.0
1937-01-01,15.0
1938-01-01,16.0
1939-01-01,16.0
1940-01-01,16.0
1941-01-01,16.0
1942-01-01,16.0
1943-01-01,16.0
1944-01-01,16.0
1945-01-01,17.0
1946-01-01,17.0
1947-01-01,17.0
1948-01-01,17.0
1949-01-01,17.0
1950-01-01,17.0
1951-01-01,17.0
1952-01-01,17.0
1953-01-01,18.0
1954-01-01,18.0
1955-01-01,18.0
1956-01-01,18.0
1957-01-01,18.0
1958-01-01,18.0
1959-01-01,18.0
1960-01-01,19.0
1961-01-01,19.0
1962-01-01,19.0
1963-01-01,19.0
1964-01-01,19.0
1965-01-01,19.0
1966-01-01,19.0
1967-01-01,19.0
1968-01-01,19.0
1969-01-01,20.0
1970-01-01,21.0
1971-01-01,21.0
1972-01-01,21.0
1973-01-01,21.0
1974-01-01,21.0
1975-01-01,21.0
1976-01-01,21.0
1977-01-01,21.0
1978-01-01,21.0
1979-01-01,21.0
1980-01-01,21.0
1981-01-01,21.0
1982-01-01,21.0
1983-01-01,22.0
1984-01-01,22.0
1985-01-01,22.0
1986-01-01,22.0
1987-01-01,22.0
1988-01-01,22.0
1989-01-01,22.0
1990-01-01,22.0
1991-01-01,22.0
1992-01-01,23.0
1993-01-01,23.0
1994-01-01,23.0
1995-01-01,23.0
1996-01-01,23.0
1997-01-01,23.0
1998-01-01,23.0
1999-01-01,23.0
2000-01-01,23.0
2001-01-01,23.0
2002-01-01,23.0
2003-01-01,24.0
2004-01-01,24.0
2005-01-01,24.0
2006-01-01,24.0
2007-01-01,24.0
2008-01-01,24.0
2009-01-01,24.0
2010-01-01,24.0
2011-01-01,24.0
2012-01-01,25.0
2013-01-01,25.0
2014-01-01,25.0
2015-01-01,25.0
2016-01-01,25.0
2017-01-01,25.0
2018-01-01,25.0
